gene_id,gene_name,gene_type,LC-PT-45_SC_01,LC-PT-45_SC_02,LC-PT-45_SC_04,LC-PT-45_SC_05,LC-PT-45_SC_06,LC-PT-45_SC_09,LC-PT-45_SC_10,LC-PT-45_SC_13,LC-PT-45_SC_14,LC-PT-45_SC_15,LC-PT-45_SC_23,LC-PT-45_SC_28,LC-PT-45_SC_30,LC-PT-45_SC_34,LC-PT-45_SC_35,LC-PT-45_SC_45,LC-PT-45_SC_49,LC-PT-45_SC_50,LC-PT-45_SC_53,LC-PT-45_SC_54,LC-PT-45_SC_58,LC-PT-45_SC_61,LC-PT-45_SC_65,LC-PT-45_SC_67,LC-PT-45_SC_72,LC-PT-45_SC_76,LC-PT-45_SC_77,LC-PT-45_SC_79,LC-PT-45_SC_87,LC-PT-45_SC_88,LC-PT-45_SC_91,LC-PT-45_SC_93,LC-PT-45_SC_94,LC-PT-45_SC_95,LC-PT-45-Re_SC01,LC-PT-45-Re_SC06,LC-PT-45-Re_SC08,LC-PT-45-Re_SC09,LC-PT-45-Re_SC11,LC-PT-45-Re_SC13,LC-PT-45-Re_SC17,LC-PT-45-Re_SC22,LC-PT-45-Re_SC25,LC-PT-45-Re_SC26,LC-PT-45-Re_SC28,LC-PT-45-Re_SC31,LC-PT-45-Re_SC33,LC-PT-45-Re_SC36,LC-PT-45-Re_SC38,LC-PT-45-Re_SC39,LC-PT-45-Re_SC40,LC-PT-45-Re_SC43,LC-PT-45-Re_SC44,LC-PT-45-Re_SC46,LC-PT-45-Re_SC47,LC-PT-45-Re_SC51,LC-PT-45-Re_SC53,LC-PT-45-Re_SC54,LC-PT-45-Re_SC55,LC-PT-45-Re_SC56,LC-PT-45-Re_SC57,LC-PT-45-Re_SC59,LC-PT-45-Re_SC61,LC-PT-45-Re_SC67,LC-PT-45-Re_SC69,LC-PT-45-Re_SC70,LC-PT-45-Re_SC71,LC-PT-45-Re_SC72,LC-PT-45-Re_SC78,LC-PT-45-Re_SC80,LC-PT-45-Re_SC84,LC-PT-45-Re_SC85,LC-PT-45-Re_SC87,LC-PT-45-Re_SC89,LC-PT-45-Re_SC90,LC-PT-45-Re_SC91,LC-PT-45-Re_SC92,LC-MBT-15_SC02,LC-MBT-15_SC07,LC-MBT-15_SC08,LC-MBT-15_SC09,LC-MBT-15_SC10,LC-MBT-15_SC11,LC-MBT-15_SC14,LC-MBT-15_SC15,LC-MBT-15_SC16,LC-MBT-15_SC20,LC-MBT-15_SC22,LC-MBT-15_SC24,LC-MBT-15_SC25,LC-MBT-15_SC34,LC-MBT-15_SC41,LC-MBT-15_SC42,LC-MBT-15_SC45,LC-MBT-15_SC50,LC-MBT-15_SC51,LC-MBT-15_SC52,LC-MBT-15_SC54,LC-MBT-15_SC55,LC-MBT-15_SC56,LC-MBT-15_SC57,LC-MBT-15_SC58,LC-MBT-15_SC59,LC-MBT-15_SC60,LC-MBT-15_SC62,LC-MBT-15_SC63,LC-MBT-15_SC64,LC-MBT-15_SC65,LC-MBT-15_SC67,LC-MBT-15_SC71,LC-MBT-15_SC72,LC-MBT-15_SC73,LC-MBT-15_SC74,LC-MBT-15_SC75,LC-MBT-15_SC76,LC-MBT-15_SC78,LC-MBT-15_SC79,LC-MBT-15_SC80,LC-MBT-15_SC84,LC-MBT-15_SC85,LC-MBT-15_SC87,LC-MBT-15_SC89,LC-MBT-15_SC92,LC-MBT-15_SC94,LC-MBT-15_SC95,LC-MBT-15_SC96,type=2,type=3,fold-change(PT-MBT),abs_avg_PT,abs_avg_MBT,,,,
ENSG00000034063.9,UHRF1,processed_transcript,0,0,68.48,16.03,28.87,0,0,0,4.04,0,0,3.07,13.8,94.25,4.36,43.46,64.82,2.61,0.04,0,2.53,3.12,0.59,0,38.33,4.98,7.93,0,0.11,0,0.28,0,2.08,10.73,1.97,141.58,74.22,76.31,171.16,7.25,1.87,18.32,107.12,82.3,86.92,29.91,40.44,156.84,3.05,34.27,0.65,25.35,96.08,6.17,97.84,137.75,384.96,92.76,34,118.31,49,50.61,45.56,86.46,90.07,50.54,133.49,0,1.26,44.48,96.35,38.39,21.76,112.62,156.81,61.02,22.93,14.07,55.86,69.13,2.55,50.02,18.4,13.87,19.7,15.06,2.29,16.08,1.69,51.29,41.98,6.06,14.97,51.75,10.32,4.74,1.21,0,106.39,16.35,17.9,23.45,15.02,66.51,32.86,0.1,3.85,28.69,0.08,15,53.79,11.41,11.15,1.14,0,0,26.79,2.08,48.6,0.09,0,19.15,17.19,19.25,82.32,30.68,0.014572554,0.004263417,22.82586271,45.49688312,22.67102041,1,1,2,1
ENSG00000085832.12,EPS15,protein_coding,34.73,54.3,34.15,35.44,7.25,4.65,17.29,0.15,26.26,1.1,0.41,5.71,3.07,19.48,12.88,19.71,1.36,0,35.24,1.17,20.14,0,0,7.08,42.51,0,4.34,0,3.19,0,63.98,64.64,6.29,0,65.96,24.07,46.77,10.34,0,19.66,76.68,28.37,12.3,8.06,7.22,24.45,45.5,0,0.93,17.9,0.18,4.15,1.54,0.16,0.59,0.25,1.8,19.24,18.73,2.22,0.54,162.96,0,0,0,16.71,0.26,5.75,43.04,21.73,72.85,12.08,19.18,4.64,0,3.97,15.66,4.71,28.04,20.27,0.41,22.5,43.36,49.25,40.03,7.65,76.6,53.02,50.5,53.49,29.75,2.66,31.63,27.13,5.73,24.46,0.36,13.21,7.25,45.81,18.33,35.34,27.01,33.22,16.12,89.1,45.97,38.73,34.39,52.96,48.45,11.17,25.53,30.83,1.05,34.52,11.62,38.2,59.06,40.72,11.98,0.51,86.86,36.21,0,34.81,0.00365537,0.002630108,-13.1816141,17.44103896,30.62265306,1,1,2,1
ENSG00000039560.9,RAI14,protein_coding,155.49,62.56,17.33,91.7,140.07,61.13,156.2,0.93,89.61,33.43,65.79,24.22,96.13,45.77,5.98,167.17,25.19,15.99,261.2,26.39,52.42,15.36,55.26,29.42,21.48,57.39,184.57,49.94,4.91,63.09,17.33,2.81,24.42,112.95,47.28,113.24,112.45,79.03,50.49,151.32,77.15,39.46,107.77,103.68,169.28,105.11,14.97,152.72,11.18,60.66,0,129.04,90.14,5.37,39.96,0,164.2,162.71,71.31,96.68,63.52,0,23.05,3.82,12,65.67,55.1,273.92,13.02,47.07,105.29,83.97,89.21,123.66,137.8,99.08,95.34,25.4,9.56,3.22,40.39,40.01,7.6,28.21,22.84,107,43.32,44.11,13.07,184.9,110.18,54.79,80.26,122.54,2.65,51.47,79.34,24.97,75.4,7.48,35.87,71.61,26.36,31.14,129.98,0,14.17,20.95,95.78,27.69,48.79,90.91,13.16,30.84,15.69,40.76,1.68,39.37,82.7,56.84,39.4,26.56,14.52,1.47,67.2,77.62,0.005664561,0.002574887,27.24486085,73.77077922,46.52591837,1,1,2,1
ENSG00000111775.2,COX6A1,protein_coding,1834.3,2118.91,1631.66,2436.5,2067.76,1883.39,988.99,299.15,1592.72,1660.81,2292.91,1520.74,1490.67,1878.4,1698.09,1446.49,2418.03,1415.19,2255.48,1295.74,1460.88,2073.87,489.09,1799.51,2220.25,1290.87,2012,1548.44,1090.95,1143.49,1551.96,1864.78,1129.58,1249.96,1320.83,2322.49,1878.63,1388.48,1672.5,1465.63,2096.01,1833.05,3001.75,1882.84,1743.84,2191.7,1274.27,1729.35,1801.15,1795.2,410.51,2294.26,1420.06,121.92,2089.04,1976.63,3426.17,1100.43,1667.04,1358.28,1292.05,1386.98,1627.61,260.3,1628.38,1554.9,1876.36,2268.76,2375.28,2112.68,1326.62,1346.99,1488.43,2470.4,1426.16,1757.1,2222.54,1795.63,1766.2,1939.19,2250.7,2292.98,2501.4,1841.25,1733.71,2321.75,1952.62,2061.99,2187.3,1873.21,2244,2377.31,1626.94,1615.74,1658.74,2002.03,2799.17,1859.3,1491.43,1381.66,1473.54,2332.98,1689.33,1931.31,1879.3,757.38,1663.15,2412.22,1858.84,2481.37,2333.48,2037.57,1544.85,2766.72,1654.01,2319.1,2265.73,1867.66,1871.19,2200.67,1936.48,2355.18,2064.21,1631.99,5528.01,1616.81,0.00090812,0.001305222,-368.5983488,1673.183896,2041.782245,1,1,2,1
ENSG00000101745.11,ANKRD12,protein_coding,26.78,47.44,84.6,45.77,27.15,20.31,81.1,108.47,36.54,19.14,222.24,104.96,60.77,35.5,14.39,106.83,17.22,48.12,19.84,72.84,84,173.29,56.12,73.03,135.56,109.6,56.58,16.91,42.42,19.77,28.52,61.88,42.34,46.22,383.23,66.5,99.75,50.92,212.77,107.17,37.5,63.5,32.78,74.19,27.36,80.92,151.72,80.61,32.5,86.99,50.7,23.78,60.94,35.14,124.14,108.04,731.36,93.32,100.86,69.81,18.54,8.95,17.83,266.86,345.28,95.6,207.45,102.11,30.96,219.69,172.03,158.91,9,40,17.29,155.63,68.55,14.88,35.64,14.07,18.89,15.83,80.75,82.69,25.93,34.28,59.43,24.8,48.49,11.52,39.45,0.59,39.31,50.19,56.87,37.49,37.19,8.54,31.06,68.73,47.89,71.12,41.88,44.12,38.87,69.09,20.38,119.85,124.68,1.41,13.46,107.24,58.68,43.13,4.17,5.34,127.65,77.59,63.95,27.78,94.49,10.39,9.95,31.63,18.3,61.88,0.002418383,0.000323771,47.46766234,91.78480519,44.31714286,1,1,2,1
ENSG00000181555.15,SETD2,protein_coding,6.26,8.17,9.88,15.59,3.68,13.01,16.14,21.29,36.39,4.88,7.58,27.52,46.52,24.11,32.51,14.18,5.17,54.01,29.59,1.57,6.14,22.99,7.19,64.35,0.38,48.26,3.69,4.85,40,14.88,25.95,80.46,30.27,29.99,38.21,8.45,15.79,19.05,22.4,9.3,29.98,5.99,8.68,101.48,25.93,14.59,45.66,6.1,11.88,28.75,8.52,10.77,44.14,32.06,7.16,34.79,0.1,24.28,26.23,51.32,20.28,33.44,30.96,50.29,23.99,37.94,63.53,23.69,36.02,37.43,14.63,11.9,6.81,5.3,21.46,62.63,58.4,39.24,20.25,10.21,109.89,13.21,14.3,16.58,30.21,42.12,12.84,19.87,14.87,48.9,89.44,43.44,24.47,60.51,4.09,28.2,0.13,38.8,16.26,7.92,66.49,40.21,29.83,34.09,28.44,39.14,16.5,35.81,24.83,91.03,15.85,41.32,15.44,105.83,89.7,25.29,24.21,30.78,57.25,15.62,31.2,63.88,8.25,23.18,11.84,13.16,0.02536009,0.036533188,-9.350278293,25.03584416,34.38612245,1,1,2,1
ENSG00000139579.8,NABP2,protein_coding,5.88,55.85,31.95,12.03,22.95,22.4,68.56,4.85,71.38,39.63,6.47,35.73,3.03,76.82,66.29,14.76,28.85,0,0.75,3.41,2.24,94.25,1.81,13.24,52.59,5.84,7.7,0,29.34,0,9.07,34.64,25.04,47.16,17.72,0,75.13,28.66,21.46,2.25,67.28,22.14,41.56,96.07,71.07,67.52,102.96,33.24,0,62.02,193.77,124.78,59.23,0,14.93,56.18,0,20.79,24.35,11.15,56.72,146.54,69.42,0,15.77,74.27,0.5,0.32,44.2,75.33,9.69,0,48.64,39.28,23.65,11.71,0,28.31,59.76,78.04,40.35,55.66,24.92,16.18,130.86,30.34,78.27,20.48,34.54,86.85,151.78,62.36,101.4,121.12,0,46.17,38.79,61.49,40.74,31.9,36.52,35.53,124.73,6.64,101.35,73.6,120.52,25.31,61.99,34.07,34.22,146.12,57.83,42.72,1.98,27.33,36.56,151.74,42.01,30.83,22.29,149.12,39.45,59.93,80.99,8.71,0.001306566,0.001830409,-23.64142857,35.38714286,59.02857143,1,1,2,1
ENSG00000105677.7,TMEM147,protein_coding,120.3,453.84,1.39,38.63,75.43,246.23,144.15,104.62,0,111.51,116.32,106.6,127.13,4.78,116.93,55.04,290.87,39.88,82.77,201.77,56.26,280.62,82.46,114.72,1.56,42.71,55.28,34.35,66.49,178.11,110.51,2.63,68.37,106.13,0.77,0.52,1.85,224.44,22.97,91.77,68.34,17.51,70.97,33.96,7.4,69.19,64.58,112.72,151.94,44.65,0,102.62,125.32,0,141.27,64.03,0,16.99,64.62,64.45,0,172.57,0,0,15.42,3.81,12.39,0,0,11.74,38.05,88.12,23.02,55.72,121.3,18.27,1.54,313.95,45.12,199.61,186.41,367.02,181.99,193.8,142.19,244.1,73.56,71.89,44.52,198.64,109.08,115.28,105.92,111.65,221.35,126.02,281.88,316.51,268.76,75.42,399.47,91.75,116.53,66.14,220.6,141.65,128.23,113.83,83.17,191.48,185.71,56.25,77.48,38.05,14.68,54.82,68.95,24.56,142.72,103.55,94.99,171.88,74.14,137.69,140.12,124.8,1.53E-05,2.69E-05,-69.1919666,74.84701299,144.0389796,1,1,2,1
ENSG00000138686.5,BBS7,protein_coding,25.47,17.33,20.05,66.79,13.77,88.58,13.32,11.48,8.82,35.55,14.88,10.81,59.24,68.8,48.28,66.61,139.69,4.33,144.28,4.35,7.27,68.24,2.88,6.39,107.59,124.27,74.58,0,18,0,11.9,32.26,18.21,18.55,10.3,64.14,9.9,42.2,43.99,72.2,0,3.02,85.06,125.4,42.77,32.75,21.83,1.76,18.19,37.67,177.31,25.45,33.7,0,18.84,4.98,0,11.29,4.61,5.07,64.97,0,17.99,0,30.52,109.95,25.04,47.24,45.74,0,56.43,3.33,4.15,1.73,13.63,11.39,16.27,25,23.73,2.99,99.84,40.79,0.32,12.11,12.95,30.19,105.76,68.18,0,11.54,1.77,23.06,36.72,43.13,12.83,12.33,7.9,0,18.41,25.23,0,8.16,22.31,43.4,19.27,0,20.15,19.44,33.95,4.23,10.91,2.87,37.06,9.17,16.22,7.92,20.94,0,27.76,4.69,53.21,20.28,0,15.12,0,5.23,0.023787778,0.011809249,14.22243043,34.97896104,20.75653061,1,1,2,1
ENSG00000233476.2,EEF1A1P6,pseudogene,22.29,15.21,14.08,24.04,31.18,21.47,23.8,4.18,32.14,16.85,18.99,14.34,21.02,35.79,18.42,19.76,29.57,52.3,18.74,45.12,18.16,15.56,2.02,40.38,29.66,38.02,26.25,16.89,33.39,6.06,23.42,21.96,28,24.79,45.92,47.42,36.47,71.47,55.88,69.08,52.47,37.08,21.24,42.64,32.64,35.87,54.85,56.96,80.17,37.13,4.72,40.41,39.66,4.4,25.17,53.79,4.77,55.29,47.01,33.9,36.47,108.79,32.98,7.18,33.55,51.76,34.48,33.62,31.02,35.72,40.46,36.39,42.2,39.05,27.3,38.86,77.38,34.19,54.61,60.23,39.78,80.72,36.35,63.6,38.12,39.3,59.69,45.44,56.36,40.98,54.65,36.85,29.01,32.8,42.43,39.54,18.25,48.03,55.6,61.46,55.48,51.55,49.46,50.49,48.78,26.63,49.54,63.27,51.05,52.74,44.42,52.53,35.83,38.62,56.08,34.07,51.11,32.16,61.94,62.38,37.19,41.73,68.13,36.2,34.26,51.12,2.58E-05,4.58E-06,-13.30233766,33.73337662,47.03571429,1,1,2,1
